abbrev,correct title,title1_votes,title1,title2,title3,correct url,url1_votes,url1,url2,url3
INT J NUMER METH ENG,international journal for numerical methods in engineering,3,international journal for numerical methods in engineering,,,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1097-0207/homepage/EditorialBoard.html,3,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1097-0207/homepage/EditorialBoard.html,,
STAT MED,statistics in medicine,3,statistics in medicine,,,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1097-0258/homepage/EditorialBoard.html,2,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1097-0258/homepage/EditorialBoard.html,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1097-0258,
COMMUN PUR APPL MATH,communications on pure and applied mathematics,3,communications on pure and applied mathematics,,,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1097-0312/homepage/EditorialBoard.html,3,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1097-0312/homepage/EditorialBoard.html,,
INT J NUMER METH FL,international journal for numerical methods in fluids,3,international journal for numerical methods in fluids,,,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1097-0363/homepage/EditorialBoard.html,2,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1097-0363/homepage/EditorialBoard.html,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1097-0363,
INT J QUANTUM CHEM,international journal of quantum chemistry,3,international journal of quantum chemistry,,,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1097-461X/homepage/EditorialBoard.html,2,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1097-461X/homepage/EditorialBoard.html,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1097-461X,
RANDOM STRUCT ALGOR,random structures and algorithms,2,random structures and algorithms,random structures & algorithms,,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1098-2418/homepage/EditorialBoard.html,2,http://www.wiley.com/WileyCDA/WileyTitle/productCd-RSA.html,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1098-2418,
NUMER METH PART D E,numerical methods for partial differential equations,2,numerical methods for partial differential equations,numerical methods for partial differential equations journal,,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1098-2426/homepage/EditorialBoard.html,2,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1098-2426/homepage/EditorialBoard.html,http://www.global-sci.org/jpde/Editorial.html,
COMPLEXITY,complexity,2,complexity,journal of complexity,,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1099-0526/homepage/EditorialBoard.html,1,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1099-0526;jsessionid=6A366C9C8119A9005364E1A511D48A46.f01t04,http://ac.els-cdn.com/S0885064X15001077/1-s2.0-S0885064X15001077-main.pdf?_tid=1321c46e-bad8-11e5-93f9-00000aacb35d&acdnat=1452787470_f2e1777a2dbaa63e3baf8c4329b7693b,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1099-0526/homepage/EditorialBoard.html
ENVIRONMETRICS,environmetrics,3,environmetrics,,,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1099-095X/homepage/EditorialBoard.html,2,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1099-095X/homepage/EditorialBoard.html,,
INT J NUMER MODEL EL,"international journal of numerical modelling: electronic networks, devices and fields",3,"international journal of numerical modelling: electronic networks, devices and fields",,,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1099-1204/homepage/EditorialBoard.html,2,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1099-1204/homepage/EditorialBoard.html,,
INT J ROBUST NONLIN,international journal of robust and nonlinear control,3,international journal of robust and nonlinear control,,,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1099-1239/homepage/EditorialBoard.html,2,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1099-1239/homepage/EditorialBoard.html,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1099-1239,
J CHEMOMETR,journal of chemometrics,3,journal of chemometrics,,,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1099-128X/homepage/EditorialBoard.html,1,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1099-128X/homepage/EditorialBoard.html,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1099-128X,
NUMER LINEAR ALGEBR,numerical linear algebra with applications,3,numerical linear algebra with applications,,,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1099-1506/homepage/EditorialBoard.html,2,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1099-1506/homepage/EditorialBoard.html,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1099-1506,
OPTIM CONTR APPL MET,optimal control applications and methods,3,optimal control applications and methods,,,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1099-1514/homepage/EditorialBoard.html,2,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1099-1514/homepage/EditorialBoard.html,,
J COMB DES,journal of combinatorial designs,3,journal of combinatorial designs,,,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1520-6610/homepage/EditorialBoard.html,1,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1520-6610,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1520-6610/homepage/EditorialBoard.html,http://www.emba.uvm.edu/~jcd/
MATH LOGIC QUART,mathematical logic quarterly,3,mathematical logic quarterly,,,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1521-3870/homepage/edbd.html,2,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1521-3870,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1521-3870/homepage/edbd.html,
ZAMM-Z ANGEW MATH ME,zamm - journal of applied mathematics and mechanics,2,zamm - journal of applied mathematics and mechanics,ournal of applied mathematics and mechanics,,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1521-4001/homepage/edbd.html,3,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1521-4001/homepage/edbd.html,,
BIOMETRICAL J,biometrical journal,3,biometrical journal,,,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1521-4036/homepage/EditorialBoard.html,2,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1521-4036/homepage/EditorialBoard.html,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1521-4036,
MATH NACHR,mathematische nachrichten,3,mathematische nachrichten,,,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1522-2616/homepage/2239_edbd.html,1,http://www.wiley-vch.de/publish/en/journals/alphabeticIndex/2239/?jURL=http%3A%2F%2Fwww.wiley-vch.de%3A80%2Fvch%2Fjournals%2F2239%2F2239_edbd.html,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1522-2616/homepage/2239_edbd.html,http://onlinelibrary.wiley.com/doi/10.1002/mana.201610600/full
APPL STOCH MODEL BUS,applied stochastic models in business and industry,3,applied stochastic models in business and industry,,,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1526-4025/homepage/EditorialBoard.html,1,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1526-4025/issues,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1526-4025/homepage/EditorialBoard.html,
RES SYNTH METHODS,research synthesis methods,3,research synthesis methods,,,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1759-2887/homepage/EditorialBoard.html,2,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1759-2887/homepage/EditorialBoard.html,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1759-2887,
MOL INFORM,molecular informatics,2,molecular informatics,molecular informatics impact factor,,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1868-1751/homepage/2022_edbd.html,2,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1868-1751/homepage/2022_edbd.html,http://www.bioxbio.com/if/html/MOL-INFORM.html,
INT J NUMER METH BIO,international journal for numerical methods in biomedical engineering,2,international journal for numerical methods in fluids,international journal for numerical methods in biomedical engineering,,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)2040-7947/homepage/EditorialBoard.html,1,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)2040-7947/homepage/EditorialBoard.html,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1097-0363/homepage/EditorialBoard.html,
J TIME SER ANAL,journal of time series analysis,3,journal of time series analysis,,,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-9892/homepage/EditorialBoard.html,1,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-9892,http://www.tandfonline.com/doi/abs/10.1080/15326349908807167,http://libra.msra.cn/Journal/7279/j-time-ser-anal-journal-of-time-series-analysis
MATH FINANC,mathematical finance,3,mathematical finance,,,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-9965/homepage/EditorialBoard.html,2,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-9965,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-9965/homepage/EditorialBoard.html,
RISK ANAL,risk analysis,3,risk analysis,,,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1539-6924/homepage/EditorialBoard.html,3,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1539-6924/homepage/EditorialBoard.html,,
NAT RESOUR MODEL,natural resource modeling,3,natural resource modeling,,,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1939-7445/homepage/EditorialBoard.html,2,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1939-7445/homepage/EditorialBoard.html,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1939-7445,
BRIT J MATH STAT PSY,british journal of mathematical and statistical psychology,3,british journal of mathematical and statistical psychology,,,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)2044-8317/homepage/EditorialBoard.html,2,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)2044-8317/homepage/EditorialBoard.html,,
ANN FUNCT ANAL,annals of functional analysis,3,annals of functional analysis,,,http://projecteuclid.org/editors/euclid.afa,1,http://projecteuclid.org/editors/euclid.afa,http://www.emis.de/journals/AFA/,http://www.dukeupress.edu/Annals-of-Functional-Analysis/?viewby=journal
KYOTO J MATH,kyoto journal of mathematics,3,kyoto journal of mathematics,,,http://projecteuclid.org/editors/euclid.kjm/,3,http://projecteuclid.org/editors/euclid.kjm/,,
NAGOYA MATH J,nagoya mathematical journal,3,nagoya mathematical journal,,,http://projecteuclid.org/editors/euclid.nmj,2,http://projecteuclid.org/editors/euclid.nmj,http://journals.cambridge.org/action/displayMoreInfo?jid=NMJ&sessionId=36F6841C6468E2AAFE3F9AFB7F785052.journals&type=eb,
MATH OPER RES,mathematics of operations research,3,mathematics of operations research,,,http://pubsonline.informs.org/page/moor/editorial-board,2,http://pubsonline.informs.org/page/moor/editorial-board,http://pubsonline.informs.org/journal/moor,
REND SEMIN MAT U PAD,rendiconti del seminario matematico  della università  di padova,2,rendiconti del seminario matematico  della universitÃ  di padova,the mathematical journal of the university of padua,,http://rendiconti.math.unipd.it/board.php?lan=english,2,http://rendiconti.math.unipd.it/board.php?lan=english,http://rendiconti.math.unipd.it/,
ELECTRON J LINEAR AL,the electronic journal of linear algebra,2,the electronic journal of linear algebra,the electronic journal of linear algebra (ela),,http://repository.uwyo.edu/ela/editorialboard.html,2,http://repository.uwyo.edu/ela/editorialboard.html,http://www.emis.de/journals/ELA/Postal.html,
REP MATH LOGIC,reports on mathematical logic,2,reports on mathematical logic,reports on mathematical logic impact factor,,http://rml.tcs.uj.edu.pl/board.htm,1,http://www.journals.elsevier.com/reports-on-mathematical-physics/editorial-board/,http://www.bioxbio.com/if/html/REP-MATH-LOGIC.html,
J COMMUT ALGEBR,journal of commutative algebra,3,journal of commutative algebra,,,http://rmmc.asu.edu/jca/editors.html,2,http://rmmc.asu.edu/jca/editors.html,,
CHAOS,chaos: an interdisciplinary journal of nonlinear science,3,chaos: an interdisciplinary journal of nonlinear science,,,http://scitation.aip.org/content/aip/journal/chaos/info/about?section=Editors,2,http://scitation.aip.org/content/aip/journal/chaos/info/about?section=Editors,http://scitation.aip.org/content/aip/journal/chaos/info/about;jsessionid=10hi1j2o1fg9o.x-aip-live-03?section=Editors,
ASTERISQUE,Astérisque,2,astÃ©risque,astÃ©risque journal,,http://smf4.emath.fr/en/Publications/Asterisque/ComiteRedactionSecretariat/,3,http://smf4.emath.fr/en/Publications/Asterisque/ComiteRedactionSecretariat/,,
B SOC MATH FR,bulletin de la societe mathematique de france,1,bulletin of the belgian mathematical society,bulletin de la societe mathematique de france,bulletin de la sociÃ©tÃ© mathÃ©matique de france,http://smf4.emath.fr/Publications/Bulletin/ComiteRedactionSecretariat/,1,http://smf4.emath.fr/en/Publications/Bulletin/Presentation/,http://www.numdam.org/numdam-bin/browse?j=BSMF&sl=0,http://www.emis.de/journals/BBMS/bbms.html
ACM T ALGORITHMS,acm transactions on algorithms,3,acm transactions on algorithms,,,http://talg.acm.org/editorial.cfm,2,http://talg.acm.org/editorial.cfm,http://talg.acm.org/,
ACM T MODEL COMPUT S,acm transactions on modeling and computer simulation,2,acm transactions on modeling and computer simulation,acm transactions on modeling and computer simulation (tomacs),,http://tomacs.acm.org/editorial.cfm,2,http://tomacs.acm.org/,http://tomacs.acm.org/editorial.cfm,
ACM T MATH SOFTWARE,acm transactions on mathematical software,3,acm transactions on mathematical software,,,http://toms.acm.org/editorial.cfm,2,http://toms.acm.org/editorial.cfm,http://toms.acm.org/,
WIRES COMPUT MOL SCI,wires computational molecular science,3,wires computational molecular science,,,http://wires.wiley.com/WileyCDA/Section/id-420129.html?al=eb,3,http://wires.wiley.com/WileyCDA/Section/id-420129.html?al=eb,,
ANN ACAD SCI FENN-M,annales academiÃ¦ scientiarum fennicÃ¦,3,annales academiÃ¦ scientiarum fennicÃ¦,,,http://www.acadsci.fi/mathematica/,3,http://www.acadsci.fi/mathematica/,,
ASTIN BULL,astin bulletin,2,astin bulletin,astin bulletinrss,,http://www.actuaries.org/index.cfm?ACT=BULLETIN_EDITORS&DSP=PUBLICATIONS&lang=EN,2,http://www.actuaries.org/index.cfm?ACT=BULLETIN_EDITORS&DSP=PUBLICATIONS&lang=EN,,
ADV NONLINEAR STUD,advanced nonlinear studies,3,advanced nonlinear studies,,,http://www.advancednonlinearstudies.com/editors.html,2,http://www.advancednonlinearstudies.com/editors.html,http://www.advancednonlinearstudies.com/index.html,
ADV DIFFER EQU-NY,advances in difference equations,3,advances in difference equations,,,http://www.advancesindifferenceequations.com/about/edboard,3,http://www.advancesindifferenceequations.com/about/edboard,,
ADV DIFFERENTIAL EQU,advances in differential equations,3,advances in differential equations,,,http://www.aftabi.com/ade-board.html,3,http://www.aftabi.com/ade-board.html,,
DIFFER INTEGRAL EQU,differential and integral equations,3,differential and integral equations,,,http://www.aftabi.com/die-board.html,3,http://www.aftabi.com/die-board.html,,
DISCRETE CONT DYN-A,discrete and continuous dynamical systems - series a (dcds-a),2,discrete and continuous dynamical systems,discrete and continuous dynamical systems - series a (dcds-a),,http://www.aimsciences.org/journals/JournalEditorialBoard.jsp?journalID=1,2,http://www.aimsciences.org/journals/JournalEditorialBoard.jsp?journalID=1,http://www.aimsciences.org/journals/home.jsp?journalID=1,
EVOL EQU CONTROL THE,evolution equations and control theory,2,evolution equations and control theory,evolution equations and control theory (eect),,http://www.aimsciences.org/journals/JournalEditorialBoard.jsp?journalID=25,3,http://www.aimsciences.org/journals/JournalEditorialBoard.jsp?journalID=25,,
